Date,Open,High,Low,Close,Adj Close,Volume
2019-06-20,1259.000000,1285.000000,1245.000000,1281.300049,1269.587646,818206
2019-06-21,1279.000000,1281.000000,1248.000000,1254.900024,1243.428955,950070
2019-06-24,1255.000000,1275.000000,1242.000000,1261.300049,1249.770508,662178
2019-06-25,1255.000000,1279.550049,1250.000000,1273.400024,1261.760010,669864
2019-06-26,1264.000000,1274.750000,1246.000000,1249.199951,1237.781128,1059546
2019-06-27,1251.199951,1269.699951,1251.199951,1256.050049,1244.568604,727901
2019-06-28,1265.000000,1266.949951,1223.550049,1232.949951,1221.679565,1211663
2019-07-01,1240.000000,1256.000000,1236.000000,1246.599976,1235.204834,678304
2019-07-02,1250.000000,1250.349976,1223.699951,1238.849976,1227.525635,827481
2019-07-03,1240.250000,1258.500000,1228.000000,1251.050049,1239.614258,1081828
2019-07-04,1262.099976,1270.000000,1253.800049,1259.050049,1247.541138,899521
2019-07-05,1268.000000,1268.000000,1228.500000,1234.750000,1223.463257,494812
